+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-origurl.users.aol.com+ACI-	0
+ACI-origurl.www.innotts.co.uk+ACI-	0
+ACI-origurl.roll.com+ACI-	0
+ACI-origurl.events+ACI-	0
+ACI-origurl.www.2meta.com+ACI-	0
+ACI-origurl.chuck.html+ACI-	0
+ACI-origurl.paris+ACI-	0
+ACI-origurl.chapel+ACI-	0
+ACI-origurl.tii+ACI-	0
+ACI-origurl.how.title+ACI-	0
+ACI-origurl.www.news.observer.com+ACI-	0
+ACI-origurl.alley+ACI-	0
+ACI-origurl.april.fools+ACI-	0
+ACI-origurl.carousel+ACI-	0
+ACI-origurl.www.haestad.com+ACI-	0
+ACI-origurl.title.html+ACI-	0
+ACI-origurl.lemoyne.edu+ACI-	0
+ACI-origurl.plains.5257+ACI-	0
+ACI-origurl.psychref+ACI-	0
+ACI-origurl.www.interchg.ubc.ca+ACI-	0
+ACI-origurl.www.lycos.co.uk+ACI-	0
+ACI-origurl.lolnad.private+ACI-	0
+ACI-origurl.ibitexas.com+ACI-	0
+ACI-origurl.wco.com+ACI-	0
+ACI-origurl.jsd+ACI-	0
+ACI-origurl.www.rock.n.roll.com+ACI-	0
+ACI-origurl.antiwar.com+ACI-	0
+ACI-origurl.target+ACI-	0
+ACI-origurl.phoenix.mcet.edu+ACI-	0
+ACI-origurl.index+ACI-	0
+ACI-origurl.1154.index+ACI-	0
+ACI-origurl.pharmacy+ACI-	0
+ACI-origurl.coltrane+ACI-	0
+ACI-origurl.website.ora.com+ACI-	0
+ACI-origurl.index.htm+ACI-	0
+ACI-origurl.dept+ACI-	0
+ACI-origurl.area51.labyrinth+ACI-	0
+ACI-origurl.mandypaul+ACI-	0
+ACI-origurl.pointe+ACI-	0
+ACI-origurl.plato.htm+ACI-	0
+ACI-origurl.arvann+ACI-	0
+ACI-origurl.ion.0+ACI-	0
+ACI-origurl.chapel.safehaven+ACI-	0
+ACI-origurl.worldvillage.com+ACI-	0
+ACI-origurl.nf.htm+ACI-	0
+ACI-origurl.www.martnet.com+ACI-	0
+ACI-origurl.hem1.passagen.se+ACI-	0
+ACI-origurl.worlddrugstore.com+ACI-	0
+ACI-origurl.www.globec.com.au+ACI-	0
+ACI-origurl.athens.8774+ACI-	0
+ACI-origurl.times.paper+ACI-	0
+ACI-origurl.actup+ACI-	0
